         27996897 function calls (27514096 primitive calls) in 102.851 seconds

   Ordered by: internal time
   List reduced from 686 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1216028   14.910    0.000   19.137    0.000 E:\sdb-perf2\src\encoding\state_encoder.py:50(encode_card_presence)
      585   10.563    0.018   10.563    0.018 {built-in method _winapi.WaitForMultipleObjects}
   110548    8.117    0.000   15.683    0.000 E:\sdb-perf2\src\encoding\action_context.py:40(build_action_context)
   112560    6.255    0.000   14.015    0.000 E:\sdb-perf2\src\engine\actions.py:80(get_available_actions)
      969    4.295    0.004   74.988    0.077 E:\sdb-perf2\src\ppo\mp_sim_worker.py:519(_submit)
  4262805    4.235    0.000    4.235    0.000 {built-in method builtins.min}
261274/159450    3.286    0.000    3.860    0.000 E:\sdb-perf2\src\cards\effects.py:99(apply)
   223108    3.109    0.000   13.344    0.000 E:\sdb-perf2\src\engine\game.py:192(execute_action)
   110548    2.572    0.000   25.915    0.000 E:\sdb-perf2\src\encoding\state_encoder.py:136(encode_state)
   110548    1.961    0.000   10.036    0.000 E:\sdb-perf2\src\encoding\state_encoder.py:101(encode_opponent_into)
   110548    1.791    0.000   10.237    0.000 E:\sdb-perf2\src\encoding\state_encoder.py:74(encode_player_into)
   112441    1.686    0.000    5.691    0.000 E:\sdb-perf2\src\engine\game.py:509(_apply_auto_effects)
      967    1.629    0.002   26.095    0.027 E:\sdb-perf2\src\ppo\mp_sim_worker.py:633(_collect)
  1031268    1.517    0.000    2.078    0.000 E:\sdb-perf2\src\engine\actions.py:42(__post_init__)
214515/124869    1.511    0.000    2.624    0.000 E:\sdb-perf2\src\cards\effects.py:255(clone)
   110548    1.490    0.000    2.965    0.000 E:\sdb-perf2\src\ppo\rollout_buffer.py:39(add)
  2544081    1.358    0.000    1.358    0.000 {built-in method builtins.isinstance}
   143871    1.312    0.000    6.183    0.000 E:\sdb-perf2\src\engine\player.py:183(get_faction_ally_count)
  2445331    1.284    0.000    1.284    0.000 {method 'append' of 'list' objects}
   221096    1.254    0.000    1.254    0.000 {method 'copy' of 'numpy.ndarray' objects}
    78012    1.231    0.000    4.334    0.000 E:\sdb-perf2\src\engine\player.py:89(_rebuild_faction_counts)
1162593/908752    1.156    0.000    1.156    0.000 E:\sdb-perf2\src\cards\effects.py:90(all_child_effects_used)
   121444    1.155    0.000    2.560    0.000 E:\sdb-perf2\src\engine\player.py:87(<listcomp>)
   223108    1.148    0.000   17.547    0.000 E:\sdb-perf2\src\engine\game.py:150(next_step)
    22135    0.834    0.000    2.689    0.000 E:\sdb-perf2\src\engine\player.py:123(end_turn)
   230079    0.790    0.000    0.971    0.000 C:\Users\timmie\AppData\Roaming\uv\python\cpython-3.11.11-windows-x86_64-none\Lib\random.py:235(_randbelow_with_getrandbits)
  1084768    0.719    0.000    0.719    0.000 {built-in method builtins.id}
   111202    0.719    0.000   26.975    0.000 E:\sdb-perf2\src\ppo\mp_sim_worker.py:249(_advance_non_ppo)
   485776    0.718    0.000    0.871    0.000 C:\Users\timmie\AppData\Roaming\uv\python\cpython-3.11.11-windows-x86_64-none\Lib\enum.py:1470(__contains__)
   320492    0.697    0.000    3.578    0.000 E:\sdb-perf2\src\engine\player.py:77(_get_card_faction_keys)
   474219    0.687    0.000    0.687    0.000 E:\sdb-perf2\src\engine\player.py:170(get_current_pending_set)
1618013/1617175    0.661    0.000    0.662    0.000 {built-in method builtins.len}
   112441    0.631    0.000    2.719    0.000 E:\sdb-perf2\src\engine\player.py:56(play_card)
44823/42422    0.626    0.000    1.242    0.000 E:\sdb-perf2\src\cards\effects.py:270(<listcomp>)
   143978    0.607    0.000    0.855    0.000 E:\sdb-perf2\src\cards\factions.py:36(parse_faction)
   246668    0.575    0.000    0.575    0.000 E:\sdb-perf2\src\cards\effects.py:62(__init__)
   607220    0.534    0.000    0.534    0.000 C:\Users\timmie\AppData\Roaming\uv\python\cpython-3.11.11-windows-x86_64-none\Lib\enum.py:798(<genexpr>)
   453919    0.527    0.000    0.744    0.000 C:\Users\timmie\AppData\Roaming\uv\python\cpython-3.11.11-windows-x86_64-none\Lib\enum.py:1232(__hash__)
     1600    0.490    0.000    0.611    0.000 E:\sdb-perf2\src\engine\game.py:113(create_starting_deck)
   223108    0.447    0.000   17.994    0.000 E:\sdb-perf2\src\engine\game.py:145(apply_decision)


